POWDER,0.17,0.3,0.5,0.7,1.0,1.3,1.6,1.9,2.2,2.5,2.8,3.1,3.4,3.7,4.0,4.3
BLACK FFFG,2.7,4.8,8.0,11.1,15.9,20.7,25.5,30.3,35.0,39.8,44.6,49.4,54.2,58.9,63.7,68.5
BLACK FFG,2.5,4.4,7.4,10.3,14.7,19.1,23.5,27.9,32.4,36.8,41.2,45.6,50.0,54.4,58.8,63.2
BLACK FG,2.4,4.2,7.0,9.7,13.9,18.1,22.3,26.4,30.6,34.8,39.0,43.1,47.3,51.5,55.7,59.8
BLACK FFFFG,2.5,4.5,7.4,10.4,14.9,19.4,23.8,28.3,32.8,37.2,41.7,46.2,50.6,55.1,59.6,64.0
A NITRO100,1.3,2.2,3.7,5.2,7.4,9.6,11.9,14.1,16.3,18.5,20.8,23.0,25.2,27.4,29.7,31.9
ACC MAG PRO,2.6,4.5,7.5,10.6,15.1,19.6,24.1,28.6,33.2,37.7,42.2,46.7,51.3,55.8,60.3,64.8
ACCUR #2,2.0,3.6,6.0,8.4,11.9,15.5,19.1,22.7,26.2,29.8,33.4,37.0,40.6,44.1,47.7,51.3
ACCUR #5,2.7,4.8,8.0,11.2,16.1,20.9,25.7,30.5,35.3,40.1,45.0,49.8,54.6,59.4,64.2,69.0
ACCUR #7,2.6,4.6,7.7,10.7,15.3,19.9,24.5,29.1,33.7,38.3,42.9,47.5,52.1,56.7,61.2,65.8
ACCUR #9,2.6,4.6,7.6,10.7,15.2,19.8,24.4,28.9,33.5,38.1,42.6,47.2,51.8,56.4,60.9,65.5
ACCUR 1680,2.6,4.6,7.6,10.7,15.3,19.8,24.4,29.0,33.6,38.2,42.7,47.3,51.9,56.5,61.0,65.6
ACCUR 2015,2.3,4.1,6.8,9.6,13.7,17.8,21.9,26.0,30.1,34.2,38.3,42.5,46.6,50.7,54.8,58.9
ACCUR 2200,2.5,4.3,7.2,10.1,14.4,18.7,23.1,27.4,31.7,36.0,40.4,44.7,49.0,53.3,57.7,62.0
ACCUR 2230,2.6,4.6,7.6,10.7,15.2,19.8,24.4,28.9,33.5,38.1,42.6,47.2,51.8,56.3,60.9,65.5
ACCUR 2460,2.6,4.6,7.6,10.7,15.2,19.8,24.4,28.9,33.5,38.1,42.7,47.2,51.8,56.4,60.9,65.5
ACCUR 2495,2.3,4.0,6.7,9.4,13.4,17.4,21.4,25.4,29.4,33.4,37.4,41.4,45.4,49.4,53.5,57.5
ACCUR 2520,2.5,4.4,7.3,10.3,14.6,19.0,23.4,27.8,32.2,36.6,41.0,45.4,49.8,54.2,58.6,63.0
ACCUR 2700,2.5,4.4,7.3,10.2,14.6,19.0,23.4,27.7,32.1,36.5,40.9,45.3,49.7,54.0,58.4,62.8
ACCUR 3100,2.3,4.0,6.7,9.4,13.4,17.4,21.4,25.4,29.4,33.4,37.4,41.4,45.4,49.4,53.5,57.5
ACCUR 4064,2.3,4.0,6.6,9.3,13.3,17.2,21.2,25.2,29.2,33.1,37.1,41.1,45.1,49.0,53.0,57.0
ACCUR 4100,2.5,4.4,7.3,10.2,14.5,18.9,23.2,27.6,31.9,36.3,40.6,45.0,49.3,53.7,58.0,62.4
ACCUR 4350,2.3,4.1,6.8,9.5,13.5,17.6,21.6,25.7,29.7,33.8,37.8,41.9,46.0,50.0,54.1,58.1
ACCUR 5744,2.3,4.0,6.7,9.3,13.3,17.3,21.3,25.3,29.3,33.3,37.3,41.3,45.2,49.2,53.2,57.2
ACCUR 8700,2.5,4.4,7.3,10.2,14.5,18.9,23.3,27.6,32.0,36.4,40.7,45.1,49.4,53.8,58.2,62.5
LT-30,2.3,4.0,6.7,9.3,13.3,17.3,21.3,25.3,29.3,33.3,37.3,41.3,45.3,49.3,53.3,57.3
LT-32,2.2,3.9,6.5,9.1,13.0,16.9,20.8,24.7,28.6,32.4,36.3,40.2,44.1,48.0,51.9,55.8
ROYAL SCOT,1.1,1.9,3.2,4.4,6.3,8.2,10.1,12.0,13.9,15.8,17.6,19.5,21.4,23.3,25.2,27.1
SOLO 1000,1.3,2.3,3.8,5.3,7.5,9.8,12.0,14.3,16.5,18.8,21.0,23.3,25.6,27.8,30.1,32.3
SOLO 1500,1.5,2.7,4.6,6.4,9.1,11.8,14.6,17.3,20.0,22.8,25.5,28.2,30.9,33.7,36.4,39.1
ALLIANT STEEL,1.6,2.8,4.7,6.6,9.4,12.2,15.1,17.9,20.7,23.5,26.3,29.2,32.0,34.8,37.6,40.5
ALNT 300 MP,2.5,4.5,7.5,10.5,15.0,19.5,24.0,28.5,33.0,37.5,42.0,46.5,51.0,55.5,60.0,64.5
ALNT 4000 MR,2.4,4.2,6.9,9.7,13.9,18.0,22.2,26.3,30.5,34.6,38.8,43.0,47.1,51.3,55.4,59.6
ALNT 410,2.1,3.7,6.2,8.7,12.4,16.2,19.9,23.6,27.4,31.1,34.8,38.6,42.3,46.0,49.8,53.5
ALNT AR-COMP,2.3,4.0,6.6,9.3,13.3,17.3,21.3,25.2,29.2,33.2,37.2,41.2,45.2,49.2,53.1,57.1
ALNT E3,1.1,2.0,3.4,4.7,6.7,8.7,10.7,12.8,14.8,16.8,18.8,20.8,22.8,24.8,26.9,28.9
ALNT VARMINT,2.6,4.6,7.7,10.7,15.4,20.0,24.6,29.2,33.8,38.4,43.0,47.6,52.2,56.8,61.4,66.0
AMER-SELECT,1.3,2.2,3.7,5.2,7.5,9.7,11.9,14.2,16.4,18.6,20.9,23.1,25.3,27.6,29.8,32.1
BLUE DOT,2.0,3.5,5.8,8.1,11.6,15.0,18.5,22.0,25.4,28.9,32.4,35.8,39.3,42.8,46.3,49.7
BULLSEYE,1.6,2.8,4.7,6.6,9.4,12.2,15.0,17.9,20.7,23.5,26.3,29.1,32.0,34.8,37.6,40.4
GREEN DOT,1.3,2.4,4.0,5.5,7.9,10.3,12.7,15.0,17.4,19.8,22.2,24.6,26.9,29.3,31.7,34.1
HERC 2400,2.3,4.0,6.7,9.4,13.5,17.5,21.6,25.6,29.7,33.7,37.8,41.8,45.9,49.9,53.9,58.0
HERCO,1.5,2.7,4.5,6.2,8.9,11.6,14.3,16.9,19.6,22.3,24.9,27.6,30.3,33.0,35.6,38.3
POWER PISTOL,1.9,3.4,5.6,7.9,11.2,14.6,18.0,21.4,24.7,28.1,31.5,34.9,38.2,41.6,45.0,48.4
RED DOT,1.2,2.1,3.5,5.0,7.1,9.2,11.3,13.5,15.6,17.7,19.8,21.9,24.1,26.2,28.3,30.4
RELODER 10,2.3,4.0,6.7,9.4,13.4,17.4,21.5,25.5,29.5,33.5,37.6,41.6,45.6,49.6,53.7,57.7
RELODER 17,2.4,4.3,7.2,10.1,14.4,18.7,23.0,27.3,31.6,35.9,40.2,44.5,48.8,53.1,57.4,61.7
RELODER 25,2.4,4.2,7.1,9.9,14.2,18.4,22.6,26.9,31.1,35.4,39.6,43.9,48.1,52.4,56.6,60.9
RELODER 7,2.3,4.1,6.9,9.6,13.7,17.8,22.0,26.1,30.2,34.3,38.4,42.6,46.7,50.8,54.9,59.0
RELODER12,2.5,4.3,7.2,10.1,14.5,18.8,23.1,27.5,31.8,36.2,40.5,44.8,49.2,53.5,57.8,62.2
